,웹툰이름,썸네일경로,웹툰디테일경로,집단,x,y,군집
25,루루라라 우리네 인생,https://image-comic.pstatic.net/webtoon/802039/thumbnail/thumbnail_IMAG21_a7a82a34-586c-4acf-b6f2-ab052be786f1.jpg,https://comic.naver.com/webtoon/list?titleId=802039,3,5.808308124542236,-0.37204980850219727,3.0
26,신군,https://image-comic.pstatic.net/webtoon/783050/thumbnail/thumbnail_IMAG21_ca9a662b-7a79-4e80-94c9-d62ebe597aad.jpg,https://comic.naver.com/webtoon/list?titleId=783050,0,-6.759620666503906,-4.41269063949585,0.0
27,엘프,https://image-comic.pstatic.net/webtoon/808776/thumbnail/thumbnail_IMAG21_fb25d2f3-790c-48db-beaf-c2504f4ed4c0.jpg,https://comic.naver.com/webtoon/list?titleId=808776,3,3.713151216506958,-0.659600019454956,3.0
28,천재 타자가 강속구를 숨김,https://image-comic.pstatic.net/webtoon/807775/thumbnail/thumbnail_IMAG21_91cb8ff9-5be3-40ba-8df9-661972577cd2.jpg,https://comic.naver.com/webtoon/list?titleId=807775,4,-0.9912440180778503,-0.8749305009841919,4.0
29,"또다시, 계약 부부",https://image-comic.pstatic.net/webtoon/774040/thumbnail/thumbnail_IMAG21_7365182423173379889.jpg,https://comic.naver.com/webtoon/list?titleId=774040,2,-5.25856351852417,5.236787796020508,2.0
30,다시쓰는 연애사,https://image-comic.pstatic.net/webtoon/793274/thumbnail/thumbnail_IMAG21_25a04dea-a6d3-4232-8c86-35bec996fde1.jpg,https://comic.naver.com/webtoon/list?titleId=793274,4,-1.0422405004501343,-2.002885341644287,4.0
31,더블클릭,https://image-comic.pstatic.net/webtoon/769663/thumbnail/thumbnail_IMAG21_935bf47d-9219-4f45-8a58-d5a7af13ce51.jpg,https://comic.naver.com/webtoon/list?titleId=769663,4,3.2051289081573486,-5.478111743927002,4.0
32,"아, 쫌 참으세요 영주님!",https://image-comic.pstatic.net/webtoon/774703/thumbnail/thumbnail_IMAG21_b33df570-a89d-42c7-bcfb-6a946c4b8846.jpg,https://comic.naver.com/webtoon/list?titleId=774703,1,1.1433814764022827,1.9885313510894775,1.0
33,인섹터,https://image-comic.pstatic.net/webtoon/801710/thumbnail/thumbnail_IMAG21_b65d115a-9224-4d45-9773-18addbc432d3.jpg,https://comic.naver.com/webtoon/list?titleId=801710,1,4.1530537605285645,3.850940227508545,1.0
34,파운더,https://image-comic.pstatic.net/webtoon/791205/thumbnail/thumbnail_IMAG21_7149240538535388720.jpg,https://comic.naver.com/webtoon/list?titleId=791205,1,2.314671516418457,5.221844673156738,1.0
